"edad","tiempo","fecha"
"(60,Inf]",106872.754999638,"08/08/2015"
"(0,18]",26218.1589999199,"09/08/2015"
"(18,30]",75660.993999958,"09/08/2015"
"(30,45]",191177.340000868,"09/08/2015"
"(45,60]",242250.20800066,"09/08/2015"
"(60,Inf]",105671.912998676,"09/08/2015"
"(0,18]",18208.0960001945,"10/08/2015"
"(18,30]",126521.458999157,"10/08/2015"
"(30,45]",280992.488000154,"10/08/2015"
"(45,60]",251005.86400032,"10/08/2015"
"(60,Inf]",115656.823001862,"10/08/2015"
"(0,18]",14353.9530000687,"11/08/2015"
"(18,30]",152119.207998753,"11/08/2015"
"(30,45]",262909.050997972,"11/08/2015"
"(45,60]",308786.319001913,"11/08/2015"
"(60,Inf]",155630.934000731,"11/08/2015"
"(0,18]",20332.4800000191,"12/08/2015"
"(18,30]",120307.635998964,"12/08/2015"
"(30,45]",310349.763998747,"12/08/2015"
"(45,60]",252606.036998034,"12/08/2015"
"(60,Inf]",188545.241999626,"12/08/2015"
"(0,18]",2320.78700017929,"13/08/2015"
"(18,30]",72486.1110005379,"13/08/2015"
"(30,45]",172428.28399992,"13/08/2015"
"(45,60]",104419.238999844,"13/08/2015"
"(60,Inf]",21152.3910002708,"13/08/2015"
"(0,18]",12363.2160003185,"14/08/2015"
"(18,30]",64064.3250014782,"14/08/2015"
"(30,45]",254905.782000065,"14/08/2015"
"(45,60]",111720.61399889,"14/08/2015"
"(60,Inf]",85262.6009993553,"14/08/2015"
"(0,18]",11614.0809996128,"15/08/2015"
"(18,30]",77620.5740003586,"15/08/2015"
"(30,45]",186701.702000618,"15/08/2015"
"(45,60]",165719.917999506,"15/08/2015"
"(60,Inf]",107904.018000126,"15/08/2015"
"(0,18]",12028.9560000896,"16/08/2015"
"(18,30]",113570.032999992,"16/08/2015"
"(30,45]",171624.060999632,"16/08/2015"
"(45,60]",175644.340000153,"16/08/2015"
"(60,Inf]",65572.9260001183,"16/08/2015"
"(0,18]",14075.5110001564,"17/08/2015"
"(18,30]",157879.875999689,"17/08/2015"
"(30,45]",387772.48099947,"17/08/2015"
"(45,60]",299342.271000624,"17/08/2015"
"(60,Inf]",116248.633001328,"17/08/2015"
"(0,18]",18827.4709999561,"18/08/2015"
"(18,30]",160766.280999184,"18/08/2015"
"(30,45]",309103.974999905,"18/08/2015"
"(45,60]",299730.283000708,"18/08/2015"
"(60,Inf]",153785.436999798,"18/08/2015"
"(0,18]",9782.49500012398,"19/08/2015"
"(18,30]",184379.741999626,"19/08/2015"
"(30,45]",318941.207002878,"19/08/2015"
